BVD,Name,SIC,Industry,OM
IN0004698558,KPMG GLOBAL SERVICES PRIVATE LIMITED,8742.0,Services,0.1625097987563099
IN0000229209,THE INDIAN EXPRESS PRIVATE LIMITED,2711.0,Manufacturing,0.16232214965539812
IN0003799551,INDUCTIS (INDIA) PRIVATE LIMITED,7389.0,Services,0.16212788648396972
IN115752FI,TATA TECHNOLOGIES LIMITED,7379.0,Services,0.1619251927555698
IN0007430736,NITTO DENKO INDIA PRIVATE LIMITED,2519.0,Manufacturing,0.16185025874016198
IN0000482124,ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,Services,0.15987624170603443
IN110739FI,INDEGENE LIMITED,8099.0,Services,0.15987172308099779
IN32826FI,SAKSOFT LIMITED,5734.0,Retail Trade,0.15971223384216376
IN0000724278,ALP OVERSEAS PRIVATE LIMITED,7389.0,Services,0.1590931848021615
IN0000271956,NICCO ENGINEERING SERVICES LIMITED,8712.0,Services,0.1583354418960862
IN0011553693,ANUNTA TECHNOLOGY MANAGEMENT SERVICES LIMITED,7375.0,Services,0.15826753908524746
IN33430FI,VOLTAMP TRANSFORMERS LIMITED,3677.0,Manufacturing,0.15824373805098157
IN0002070845,CIGNA HEALTH SOLUTIONS INDIA PRIVATE LIMITED,7299.0,Services,0.1581368455784651
IN0014328627,MUNDRA SOLAR TECHNOPARK PRIVATE LIMITED,8721.0,Services,0.15749499502929298
IN0000280282,DAIFUKU INTRALOGISTICS INDIA PRIVATE LIMITED,3559.0,Manufacturing,0.1573805629438352
IN31064FI,AUTORIDERS INTERNATIONAL LIMITED,7514.0,Services,0.1569076418554375
IN116746FI,K.P. ENERGY LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.15606135569714388
IN31030FI,CARYSIL LIMITED,3469.0,Manufacturing,0.15599117039663649
IN0008744651,OMNICOM MEDIA GROUP INDIA PRIVATE LIMITED,7311.0,Services,0.15405021630995167
IN0003630874,HSS APPAREL PRIVATE LIMITED,2389.0,Manufacturing,0.15403662064697674
IN0000401136,TEREX INDIA PRIVATE LIMITED,5199.0,Wholesale Trade,0.1540240739192639
IN0000216819,SAINT-GOBAIN INDIA PRIVATE LIMITED,2899.0,Manufacturing,0.15398085740384507
IN30588FI,SCHAEFFLER INDIA LIMITED,3562.0,Manufacturing,0.15333636819004035
IN0011379524,MILLENNIUM CONSULTING (INDIA) PRIVATE LIMITED,7375.0,Services,0.1531092344950097
IN0007832776,EBCO PRIVATE LIMITED,3559.0,Manufacturing,0.15291454421853326
IN0008070427,KNORR-BREMSE TECHNOLOGY CENTER INDIA PRIVATE LIMITED,7375.0,Services,0.15251639337050482
IN0001950587,CELESTICA (INDIA) PRIVATE LIMITED,3694.0,Manufacturing,0.15188121636787097
IN0000022904,DELHI DUTY FREE SERVICES PRIVATE LIMITED,5962.0,Retail Trade,0.15117368913374107
IN0007540796,LUMAX CORNAGLIA AUTO TECHNOLOGIES PRIVATE LIMITED,3559.0,Manufacturing,0.15077943245028766
IN0000275942,OSTWAL PHOSCHEM (INDIA) LIMITED,3251.0,Manufacturing,0.14932862614890993
IN31933FI,RATNAMANI METALS & TUBES LTD.,3399.0,Manufacturing,0.1484867418257091
IN0002919022,FORTINET TECHNOLOGIES INDIA PRIVATE LIMITED,7371.0,Services,0.14727041512447017
