Name,SIC,BVD,Industry
APEX KIDNEY CARE PRIVATE LIMITED,8099.0,IN0001071127,Services
APL LOGISTICS VASCOR AUTOMOTIVE PRIVATE LIMITED,4131.0,IN0013496968,"Transportation, Communications, Electric, Gas, and Sanitary Services"
APOLLO HOSPITALS ENTERPRISE LIMITED,8062.0,IN30548FI,Services
APOLLO PIPES LIMITED,3089.0,IN31271FI,Manufacturing
APOLLO SINDOORI HOTELS LIMITED,5499.0,IN113688FI,Retail Trade
APPINVENTIV TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0015807174,Services
APPLIED MATERIALS INDIA PRIVATE LIMITED,8742.0,IN0000981901,Services
APPS ASSOCIATES (I) PRIVATE LIMITED,7375.0,IN0016918819,Services
APTAR PHARMA INDIA PRIVATE LIMITED,3559.0,IN0000023961,Manufacturing
APTONLINE LIMITED,9111.0,IN0000287054,Public Administration
AQUA SPACE DEVELOPERS PRIVATE LIMITED,1799.0,IN0002500677,Construction
AQUACO INDUSTRIES PRIVATE LIMITED,4941.0,IN0014822036,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AQUAPHARM CHEMICALS PRIVATE LIMITED,2834.0,IN0001017776,Manufacturing
AQUATIC FORMULATIONS (INDIA) LIMITED,2834.0,IN0001019591,Manufacturing
AQUATIC REMEDIES LIMITED,2834.0,IN0020486608,Manufacturing
ARAGEN LIFE SCIENCES LIMITED,2834.0,IN0003459173,Manufacturing
ARAMCO ASIA INDIA PRIVATE LIMITED,7389.0,IN0015472119,Services
ARAVALI TECHNICAL SERVICES PRIVATE LIMITED,7389.0,IN0014384021,Services
ARAVIND CERAMIC INDUSTRIES LIMITED,3269.0,IN0001103634,Manufacturing
ARENE LIFE SCIENCES PRIVATE LIMITED,2834.0,IN0001090415,Manufacturing
ARETE SERVICES PRIVATE LIMITED,4212.0,IN0001091415,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ARIBA TECHNOLOGIES INDIA PRIVATE LIMITED,7375.0,IN0001073977,Services
ARIHANT INNOCHEM PRIVATE LIMITED,5999.0,IN0014602861,Retail Trade
ARIHANT SYNCOTEX MILLS PRIVATE LIMITED,191.0,IN0001027653,Unknown
ARISTO LABORATORIES PRIVATE LIMITED,2819.0,IN0001042333,Manufacturing
ARISTO PHARMACEUTICALS PRIVATE LIMITED,2834.0,IN0001043328,Manufacturing
ARJAN IMPEX PRIVATE LIMITED,2047.0,IN0001082422,Manufacturing
ARMSTRONG MACHINE BUILDERS PRIVATE LIMITED,3569.0,IN0001224431,Manufacturing
AROMA AGROTECH PRIVATE LIMITED,191.0,IN0001227186,Unknown
ARSENAL INFOSOLUTIONS PRIVATE LIMITED,7389.0,IN0016580052,Services
ARTH POLYYARN PRIVATE LIMITED,7389.0,IN0009087846,Services
ARTHA INFRATECH PRIVATE LIMITED,7371.0,IN0001120801,Services
ARUNDHATI JEWELLERS PRIVATE LIMITED,3911.0,IN0001142483,Manufacturing
ARVIND SMARTSPACES LIMITED,6531.0,IN36214FI,"Finance, Insurance, and Real Estate"
ARYA COLLATERAL WAREHOUSING SERVICES PRIVATE LIMITED,5199.0,IN0001126625,Wholesale Trade
ARYA FIN-TRADE SERVICES (INDIA) PRIVATE LIMITED,6019.0,IN0001127347,"Finance, Insurance, and Real Estate"
ARYA OMNITALK WIRELESS SOLUTIONS PRIVATE LIMITED,3612.0,IN0001314578,Manufacturing
ARYADOOT TRANSPORT PVT LTD,4789.0,IN0001132846,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ARYAN EXPORTERS PRIVATE LIMITED,3089.0,IN0009103367,Manufacturing
ASARFI HOSPITAL LIMITED,8062.0,IN104435FI,Services
ASC INFRATECH PRIVATE LIMITED,8111.0,IN0001166752,Services
ASHA RAM AND SONS PRIVATE LIMITED,2899.0,IN0001165904,Manufacturing
ASHAPURA LOGISTICS LIMITED,4789.0,IN0001176049,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ASHWMEGH INDUSTRIES PRIVATE LIMITED,2091.0,IN0010239659,Manufacturing
ASPEN BUILDTECH LIMITED,6531.0,IN0010240194,"Finance, Insurance, and Real Estate"
ASPIRE SYSTEMS (INDIA) PRIVATE LIMITED,4939.0,IN0001318721,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ASSOCIATED ALCOHOLS & BREWERIES LIMITED,2085.0,IN32616FI,Manufacturing
ASTEC LIFESCIENCES LIMITED,7379.0,IN33997FI,Services
ASTHA GREEN ENERGY VENTURES INDIA PRIVATE LIMITED,6159.0,IN0004148305,"Finance, Insurance, and Real Estate"
ASTRAZENECA PHARMA INDIA LIMITED,2834.0,IN30545FI,Manufacturing
ASUS TECHNOLOGY PRIVATE LIMITED,7375.0,IN0010233868,Services
ASVINI FISHERIES PRIVATE LIMITED,912.0,IN0000254984,Public Administration
AT & T COMMUNICATION SERVICES INDIA PRIVATE LIMITED,4899.0,IN0001228172,"Transportation, Communications, Electric, Gas, and Sanitary Services"
