BVD,Name,SIC,Industry,OM
IN0001235405,ATC TIRES PRIVATE LIMITED,3011.0,Manufacturing,0.23126831004246692
IN32097FI,GANESH BENZOPLAST LIMITED,2899.0,Manufacturing,0.22950442961610987
IN0000243034,ECONOMIC EXPLOSIVES LIMITED,2892.0,Manufacturing,0.22640697853155375
IN0005903159,SENSA CORE MEDICAL INSTRUMENTATION PRIVATE LIMITED,7389.0,Services,0.2257958041044377
IN0010698936,MANSUKH SECURITIES AND FINANCE LIMITED,7389.0,Services,0.22449324711172902
IN111222FI,COCHIN SHIPYARD LIMITED,3731.0,Manufacturing,0.22249860901704757
IN001576356IND,SUPRIYA LIFESCIENCE LIMITED,2879.0,Manufacturing,0.2220218955407316
IN31466FI,GUJARAT STATE PETRONET LIMITED,4924.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.2214653913514398
IN34493FI,SREELEATHERS LTD,5139.0,Wholesale Trade,0.2206817553604136
IN0011018813,RASI SEEDS PRIVATE LIMITED,139.0,Mining,0.2183497019304118
IN0003353519,GREEN GAS LIMITED,2999.0,Manufacturing,0.21784115174398788
IN0003769766,INDIANOIL PETRONAS PRIVATE LIMITED,7389.0,Services,0.21597263144872159
IN0007759218,EPICENTER TECHNOLOGIES PRIVATE LIMITED,7375.0,Services,0.21557371188739424
IN0000245832,L&T ENERGY HYDROCARBON ENGINEERING LIMITED,8712.0,Services,0.21470955447131304
IN0005213557,VEHERE INTERACTIVE PVT LTD,7375.0,Services,0.21413775036227123
IN0001224431,ARMSTRONG ROBOTICS & TECHNOLOGIES PRIVATE LIMITED,3569.0,Manufacturing,0.21174740980538923
IN0005559277,TECHNO WAXCHEM PRIVATE LIMITED,3069.0,Manufacturing,0.20989814163974221
IN0012662906,PRAVESHA INDUSTRIES PRIVATE LIMITED,3523.0,Manufacturing,0.20920850722401804
IN31487FI,SOBHA LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.20895182235857512
IN30589FI,ENGINEERS INDIA LIMITED,8711.0,Services,0.20877605586084388
IN0013855003,DASSAULT SYSTEMES GLOBAL SERVICES PRIVATE LIMITED,7375.0,Services,0.2086986237870723
IN0001799331,BRAHMANI RIVER PELLETS LIMITED,3315.0,Manufacturing,0.20758892182692623
IN0003112809,GENERAL ATLANTIC PRIVATE LIMITED,8712.0,Services,0.20315313992222458
IN37278FI,MTAR TECHNOLOGIES LIMITED,3559.0,Manufacturing,0.2026697771618808
IN0002441478,DHARIWAL INFRASTRUCTURE LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.20044072982272568
IN31362FI,IOL CHEMICALS AND PHARMACEUTICALS LIMITED,2899.0,Manufacturing,0.1997686252832754
IN33167FI,ZYDUS WELLNESS LTD,2099.0,Manufacturing,0.19917078004492927
IN0002423347,COMPANY3 METHOD INDIA PRIVATE LIMITED,4832.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.1958570883995084
IN30831FI,INDRAPRASTHA GAS LIMITED,4932.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.19584332391701184
IN0007639913,MODERN ROAD MAKERS P LTD,1611.0,Construction,0.1945489357967559
IN112349FI,SYNGENE INTERNATIONAL LIMITED,2834.0,Manufacturing,0.1945432049397501
IN0010767893,MILLIMAN INDIA PRIVATE LIMITED,8742.0,Services,0.19386352995507006
IN0007520057,LONSEN KIRI CHEMICAL INDUSTRIES LIMITED,2816.0,Manufacturing,0.19099510417463217
IN001152862IND,RUDRABHISHEK ENTERPRISES LIMITED,8748.0,Services,0.18987185548864982
IN31181FI,ALKYL AMINES CHEMICALS LIMITED,2899.0,Manufacturing,0.18955516819836105
IN36061FI,ANUPAM RASAYAN INDIA LIMITED,2899.0,Manufacturing,0.18713615203609002
IN0006706513,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,7375.0,Services,0.18560286803953652
IN0011266763,SUPARNA CHEMICALS LIMITED,2819.0,Manufacturing,0.18413408903105502
IN0006586761,RENAULT NISSAN TECHNOLOGY & BUSINESS CENTRE INDIA PRIVATE LIMITED,5571.0,Retail Trade,0.1826900991288104
IN0009513854,CLIFFORD CHANCE BUSINESS SERVICES PRIVATE LIMITED,5734.0,Retail Trade,0.181803107727775
IN0012439902,MAJESCO SOFTWARE AND SOLUTIONS INDIA PRIVATE LIMITED,7375.0,Services,0.18046793532605132
IN33040FI,GODAWARI POWER & ISPAT LTD,3312.0,Manufacturing,0.17917140945874152
IN001579121IND,ERI-TECH LIMITED,3499.0,Manufacturing,0.17908836510399243
IN0001883274,CALIBRE CHEMICALS PRIVATE LIMITED,2899.0,Manufacturing,0.17889411898856558
IN0012849189,SAWAN ENGINEERS PRIVATE LIMITED,3312.0,Manufacturing,0.17818078226452397
IN0005524571,TADIMETY AROMATICS PRIVATE LIMITED,2813.0,Manufacturing,0.1771091332323201
IN0002026901,ACCENTURE OPERATIONS SERVICES PRIVATE LIMITED,7389.0,Services,0.1759159609832911
IN0011746231,MORNINGSTAR INDIA PRIVATE LIMITED,7374.0,Services,0.17495472594072795
IN0007948333,ELLUCIAN HIGHER EDUCATION SYSTEMS INDIA PRIVATE LIMITED,7375.0,Services,0.1749259445384436
IN0002822131,FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,7375.0,Services,0.17488166126266944
IN32439FI,BHARAT RASAYAN LIMITED,2879.0,Manufacturing,0.17432504125023388
IN30396FI,STERLITE TECHNOLOGIES LIMITED,3357.0,Manufacturing,0.17429454886713494
IN0007582142,MACQUARIE GLOBAL SERVICES PRIVATE LIMITED,7299.0,Services,0.17382060451682013
IN117363FI,AARNAV FASHIONS LIMITED,6099.0,"Finance, Insurance, and Real Estate",0.17375135829677732
IN31492FI,TORRENT POWER LIMITED,4931.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.173591749116336
IN33643FI,POLY MEDICURE LIMITED,3841.0,Manufacturing,0.17329030916749202
IN0003764543,INDIAN METALS & ALLOYS MANUFACTURING COMPANY PRIVATE LIMITED,3321.0,Manufacturing,0.17307308680511002
IN0005836713,SCHOTT POONAWALLA PRIVATE LIMITED,3221.0,Manufacturing,0.17265253926993243
IN0012355638,ENEOS TIDE WATER LUBRICANTS INDIA PRIVATE LIMITED,7389.0,Services,0.17247791628240763
IN0010538934,VISTEX ASIA-PACIFIC PRIVATE LIMITED,7375.0,Services,0.17062283320642288
IN001576439IND,NEOGEN CHEMICALS LIMITED,2869.0,Manufacturing,0.17038005351708604
IN0002554415,DYNATECH TOOLS & DEVICES (BENGALURU) PRIVATE LIMITED,3312.0,Manufacturing,0.169890753826436
IN0002441431,DHARIWAL INDUSTRIES PRIVATE LIMITED,3499.0,Manufacturing,0.16952219954504325
IN32313FI,MOLD-TEK TECHNOLOGIES LIMITED,8711.0,Services,0.16951673932736447
IN117175FI,L&T TECHNOLOGY SERVICES LIMITED,8711.0,Services,0.1689203879044006
IN33363FI,BAJAJ AUTO LIMITED,3751.0,Manufacturing,0.1687274646572847
IN31638FI,ALANKIT LTD,6099.0,"Finance, Insurance, and Real Estate",0.16864950930215813
IN0003599749,HID INDIA PRIVATE LIMITED,3571.0,Manufacturing,0.16838921314496705
IN0002602668,ESDS SOFTWARE SOLUTION LIMITED,7371.0,Services,0.16830196847203208
IN0009103562,HOME LIFE BUILDCON PRIVATE LIMITED,1629.0,Construction,0.16814330354988571
IN0003705045,IHS GLOBAL PRIVATE LIMITED,7374.0,Services,0.16800928316590605
IN0000723421,ALLIANCE INSURANCE BROKERS PRIVATE LIMITED,6411.0,"Finance, Insurance, and Real Estate",0.16792189930310134
IN0014167577,BRITISH INTERNATIONAL INVESTMENT INDIA ADVISERS PRIVATE LIMITED,8721.0,Services,0.1677605679114258
IN117174FI,MADHYA BHARAT AGRO PRODUCTS LIMITED,1475.0,Mining,0.16637868589665514
IN0000020799,TEMENOS INDIA PRIVATE LIMITED,3571.0,Manufacturing,0.1662554937079153
IN0010233868,ASUS TECHNOLOGY PRIVATE LIMITED,7375.0,Services,0.16470595803216767
IN0012898706,SAI LIFE SCIENCES LIMITED,2833.0,Manufacturing,0.1639622738048697
IN0003638043,HUGHES AND HUGHES CHEM LIMITED,2869.0,Manufacturing,0.16267529133409278
IN0005246007,VERIFONE INDIA TECHNOLOGY PRIVATE LIMITED,7371.0,Services,0.1614291115572278
IN30183FI,WIPRO LIMITED,7371.0,Services,0.16118843681324205
IN0004933266,XILINX INDIA TECHNOLOGY SERVICES PRIVATE LIMITED,7371.0,Services,0.16051525303178016
IN117426FI,SATIA INDUSTRIES LIMITED,5111.0,Wholesale Trade,0.16032044623103522
IN30516FI,ATUL LIMITED,2899.0,Manufacturing,0.1597511659695227
IN0006164359,STANDARD CHARTERED (INDIA) MODELING AND ANALYTICS CENTRE PRIVATE LIMITED,7389.0,Services,0.15971614764020134
IN0005844689,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.1596807412122487
IN0007954205,ELYSIUM PHARMACEUTICALS LTD,2834.0,Manufacturing,0.1595726651901056
IN0000399632,RCCPL PRIVATE LIMITED,3241.0,Manufacturing,0.15944009723487285
IN0003723003,IMPERIAL DYEING LIMITED,2211.0,Manufacturing,0.15913852156260697
IN0008407527,EVONIK CATALYSTS INDIA PRIVATE LIMITED,2869.0,Manufacturing,0.15904706603063115
IN0015380368,RAKUTEN INDIA ENTERPRISE PRIVATE LIMITED,7371.0,Services,0.15682732344165914
IN0002883707,FLEUR HOTELS LIMITED,7011.0,Services,0.15625116412358628
IN0007533259,LSI INDIA RESEARCH & DEVELOPMENT PRIVATE LIMITED,3679.0,Manufacturing,0.15610078429717614
IN117452FI,SAKAR HEALTHCARE LTD,2834.0,Manufacturing,0.15608888684952074
IN0000239779,TAGROS CHEMICALS INDIA PRIVATE LIMITED,2899.0,Manufacturing,0.1546206968413739
IN0002573819,EISAI PHARMACEUTICALS INDIA PRIVATE LIMITED,2834.0,Manufacturing,0.1538225827383821
IN30351FI,JUBILANT PHARMOVA LIMITED,2834.0,Manufacturing,0.15366886508996305
IN0015158986,CME INDIA PRIVATE LIMITED,7389.0,Services,0.1536389873587856
IN0015254025,J. C. PENNEY SERVICES INDIA PRIVATE LIMITED,7371.0,Services,0.15294267005488135
IN0016559702,DBS TECHNOLOGY SERVICES INDIA PRIVATE LIMITED,7374.0,Services,0.15254234655734278
IN0006874292,MINDSPRINT DIGITAL (INDIA) PRIVATE LIMITED,7371.0,Services,0.15187425429790327
IN0009427438,B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,1623.0,Construction,0.15170155301673646
IN31252FI,DEEPAK NITRITE LIMITED,2899.0,Manufacturing,0.1511556296616774
