,BVD,Name,SIC,Industry,RG
49,IN0001586453,BERRY ALLOYS LIMITED,3321.0,Manufacturing,0.4691990661952714
151,IN0006108089,SPC LIFE SCIENCES LIMITED,2834.0,Manufacturing,0.4690218960976531
99,IN0003572656,HIGH VOLT ELECTRICALS PRIVATE LIMITED,3612.0,Manufacturing,0.4675786219322833
309,IN0015254025,J. C. PENNEY SERVICES INDIA PRIVATE LIMITED,7371.0,Services,0.46663145901947956
86,IN0002822131,FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,7375.0,Services,0.4599526530439461
257,IN0012162509,GLOWSTONE INDUSTRIES PRIVATE LIMITED,1499.0,Mining,0.45985439462204947
29,IN0000564245,CRIF HIGH MARK CREDIT INFORMATION SERVICES PRIVATE LIMITED,8743.0,Services,0.4592931136820882
179,IN0007684273,MULTIPLES ALTERNATE ASSET MANAGEMENT PRIVATE LIMITED,7389.0,Services,0.4573430435358194
423,IN544855FI,OSIA HYPER RETAIL LIMITED,5999.0,Retail Trade,0.45663852185263104
426,IN918732FI,SUMITOMO CHEMICAL INDIA LTD,2899.0,Manufacturing,0.45658986989165723
271,IN0012787147,VINOD TEXWORLD PRIVATE LIMITED,2399.0,Manufacturing,0.4488453165157023
70,IN0002215488,DAIDO KOGYO INDIA PRIVATE LIMITED,5085.0,Wholesale Trade,0.4373768590278953
212,IN0009640468,UNIFIED DATA- TECH SOLUTIONS PRIVATE LIMITED,5085.0,Wholesale Trade,0.43524774854106557
265,IN0012600781,SILVERTON PULP AND PAPERS PRIVATE LIMITED,2655.0,Manufacturing,0.4282809919493727
84,IN0002663791,EUROFINS ANALYTICAL SERVICES INDIA PRIVATE LIMITED,8731.0,Services,0.42539892438077825
132,IN0005336888,VIKAS TELECOM PRIVATE LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.4237703501966222
352,IN117612FI,PSP PROJECTS LIMITED,8741.0,Services,0.42122914134854744
283,IN0013275627,PENTAGON FORGE & MACHINE LIMITED,3523.0,Manufacturing,0.4190153520824849
234,IN0010883963,KYOSAN INDIA PRIVATE LIMITED,3694.0,Manufacturing,0.41229819599616846
43,IN0001308217,APARNA INFRAHOUSING PRIVATE LIMITED (PART IX ),6531.0,"Finance, Insurance, and Real Estate",0.4086097163529303
298,IN0014405043,DYWIDAG BRIDGECON INDIA PRIVATE LIMITED,8742.0,Services,0.40829045242587764
291,IN0014167577,BRITISH INTERNATIONAL INVESTMENT INDIA ADVISERS PRIVATE LIMITED,8721.0,Services,0.4019703057317563
375,IN31252FI,DEEPAK NITRITE LIMITED,2899.0,Manufacturing,0.39936676515035874
252,IN0011746231,MORNINGSTAR INDIA PRIVATE LIMITED,7374.0,Services,0.39724426146483616
161,IN0006688975,RMD KWIKFORM INDIA PRIVATE LIMITED,8742.0,Services,0.39639841511419277
190,IN0007964882,HEERU CORROSION PROTECTION SERVICES INDIA PRIVATE LIMITED,3999.0,Manufacturing,0.37619544080735556
125,IN0005006679,WESTERN U. P. POWER TRANSMISSION COMPANY LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.3758731181701868
322,IN001579121IND,ERI-TECH LIMITED,3499.0,Manufacturing,0.37537915900287894
7,IN0000238181,FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE LIMITED,3569.0,Manufacturing,0.36781043851968276
61,IN0001890039,CAMBIUM NETWORKS PRIVATE LIMITED,7389.0,Services,0.3662921489696897
