,BVD,Name,SIC,Industry,RG
130,IN0004780435,ZYDUS TAKEDA HEALTHCARE PRIVATE LIMITED,2834.0,Manufacturing,0.44290165537726045
367,IN33720FI,SHILCHAR TECHNOLOGIES LTD,3612.0,Manufacturing,0.4405688465363265
186,IN0008307453,MERCEDES-BENZ INDIA PRIVATE LIMITED,3711.0,Manufacturing,0.43945449132577097
15,IN0000228057,ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,Services,0.4364502556466494
225,IN0011230876,SIMPLEX METAL PROCESSORS (INDIA) PRIVATE LIMITED,3312.0,Manufacturing,0.43422928007486505
159,IN0006630836,LAURUS BIO PRIVATE LIMITED,2834.0,Manufacturing,0.4334863479397521
366,IN33708FI,SOBHAGYA MERCANTILE LIMITED,3541.0,Manufacturing,0.4330189696895861
258,IN0014353115,KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVA TE LIMITED,3552.0,Manufacturing,0.4307374493799289
112,IN0003687061,HIRSCHVOGEL COMPONENTS INDIA PRIVATE LIMITED,3441.0,Manufacturing,0.42807130789045855
275,IN001577512IND,ANGEL ONE LIMITED,6211.0,"Finance, Insurance, and Real Estate",0.4271233767931257
259,IN0014436737,HDFC CAPITAL ADVISORS LIMITED,7389.0,Services,0.4261891314398804
162,IN0006709508,RICHEMONT INDIA PRIVATE LIMITED,5199.0,Wholesale Trade,0.42396499010017324
27,IN0000248777,GOLDRUSH SALES & SERVICES LTD,5199.0,Wholesale Trade,0.4225130339467948
135,IN0004965761,WATSON & CHALIN INDIA PRIVATE LIMITED,3799.0,Manufacturing,0.420234422106418
76,IN0002044597,CHEEMA BOILERS LIMITED,3559.0,Manufacturing,0.418054552467672
236,IN0012192731,SYNERGY MARITIME RECRUITMENT SERVICES PRIVATE LIMITED,7389.0,Services,0.41786612060743145
263,IN0014708351,RATHOD JEWELLERY MANUFACTURING PRIVATE LIMITED,3911.0,Manufacturing,0.4168932030086033
203,IN0009946033,SATRAC ENGINEERING PRIVATE LIMITED,3523.0,Manufacturing,0.41384339204317405
87,IN0002385747,DEXTRA INDIA PRIVATE LIMITED,3531.0,Manufacturing,0.4124914091472951
369,IN33881FI,RAMKRISHNA FORGINGS LIMITED,3462.0,Manufacturing,0.41105495945819753
215,IN0010809538,MAHARASHTRA KNOWLEDGE CORPORATION LIMITED,8299.0,Services,0.41020237742097315
267,IN0014858647,ASIATECH COATINGS PRIVATE LIMITED,7389.0,Services,0.4071800839560627
337,IN31556FI,KEWAL KIRAN CLOTHING LIMITED,5699.0,Retail Trade,0.4068423938259244
189,IN0008479783,MUMBAI AVIATION FUEL FARM FACILITY PRIVATE LIMITED,4789.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.4062411332851425
14,IN0000226247,DEVYANI INTERNATIONAL LIMITED,2035.0,Manufacturing,0.4053305471196189
388,IN72786FI,TUBE INVESTMENTS OF INDIA LIMITED,3317.0,Manufacturing,0.40375119154115097
287,IN113688FI,APOLLO SINDOORI HOTELS LIMITED,5499.0,Retail Trade,0.4031359339721134
91,IN0002617424,DELVAL FLOW CONTROLS PRIVATE LIMITED,3559.0,Manufacturing,0.4027628019023881
113,IN0003689094,HIRA TECHNOLOGIES PRIVATE LIMITED,3631.0,Manufacturing,0.39988029425514227
214,IN0010733384,MAGIC INTERNATIONAL PRIVATE LIMITED,3679.0,Manufacturing,0.3989885351599791
253,IN0013518888,JCB POWER PRODUCTS INDIA PRIVATE LIMITED,3612.0,Manufacturing,0.39788182167217423
137,IN0005020549,WILLIAM GRANT AND SONS INDIA PRIVATE LIMITED,7389.0,Services,0.3976008936907305
