Name,SIC,BVD,Industry
MAGEBA BRIDGE PRODUCTS PRIVATE LIMITED,1799.0,IN0000024645,Construction
MAGIC INTERNATIONAL PRIVATE LIMITED,3679.0,IN0010733384,Manufacturing
MAHAN ENERGEN LIMITED,4911.0,IN0002621892,"Transportation, Communications, Electric, Gas, and Sanitary Services"
MAHARASHTRA KNOWLEDGE CORPORATION LIMITED,8299.0,IN0010809538,Services
MALABAR DIAMOND GALLERY PRIVATE LIMITED,5944.0,IN0011179751,Retail Trade
MANN TOURIST TRANSPORT SERVICE PRIVATE LIMITED,5571.0,IN0010858162,Retail Trade
MANORAMA INDUSTRIES LIMITED,2079.0,IN903999FI,Manufacturing
MARKET CITY RESOURCES PRIVATE LIMITED,7011.0,IN0000267889,Services
MAZAGON DOCK SHIPBUILDERS LIMITED,3731.0,IN001577515IND,Manufacturing
MEDTRONIC ENGINEERING AND INNOVATION CENTER PRIVATE LIMITED,8731.0,IN0010415947,Services
MELODY HEALTHCARE PRIVATE LIMITED,2833.0,IN0008297818,Manufacturing
MERCEDES-BENZ INDIA PRIVATE LIMITED,3711.0,IN0008307453,Manufacturing
MERCK SPECIALITIES PRIVATE LIMITED,2869.0,IN0008308415,Manufacturing
METRO BRANDS LIMITED,5139.0,IN115943FI,Wholesale Trade
MILLENNIUM CONSULTING (INDIA) PRIVATE LIMITED,7375.0,IN0011379524,Services
MISHTANN FOODS LIMITED,2099.0,IN106207FI,Manufacturing
MITSUBISHI ELECTRIC INDIA PRIVATE LIMITED,5085.0,IN0013387426,Wholesale Trade
MMC HARDMETAL INDIA PRIVATE LIMITED,3441.0,IN0007618779,Manufacturing
MMP INDUSTRIES LIMITED,3365.0,IN621280FI,Manufacturing
MODERN INDIA LIMITED,2269.0,IN31500FI,Manufacturing
MONTANARI LIFTS COMPONENTS PRIVATE LIMITED,3562.0,IN0008569014,Manufacturing
MSKH SEATING SYSTEMS INDIA PRIVATE LIMITED,3631.0,IN0007645906,Manufacturing
MUMBAI AIRPORT LOUNGE SERVICES PRIVATE LIMITED,7011.0,IN0013778542,Services
MUMBAI AVIATION FUEL FARM FACILITY PRIVATE LIMITED,4789.0,IN0008479783,"Transportation, Communications, Electric, Gas, and Sanitary Services"
MUMTAZ HOTELS LIMITED,7011.0,IN0008481465,Services
MUNDRA SOLAR TECHNOPARK PRIVATE LIMITED,8721.0,IN0014328627,Services
MURLIDHAR RATANLAL EXPORTS LTD,5199.0,IN0000226164,Wholesale Trade
MURUDESHWAR CERAMICS LIMITED,3262.0,IN31506FI,Manufacturing
NADI AIRTECHNICS PRIVATE LIMITED,4491.0,IN0005538248,"Transportation, Communications, Electric, Gas, and Sanitary Services"
NATIONAL PLASTIC TECHNOLOGIES LTD.,3089.0,IN31417FI,Manufacturing
NELSON GLOBAL PRODUCTS INDIA PRIVATE LIMITED,3511.0,IN0009044261,Manufacturing
NEXTEER AUTOMOTIVE INDIA PRIVATE LIMITED,3799.0,IN0013596287,Manufacturing
NICCO ENGINEERING SERVICES LIMITED,8712.0,IN0000271956,Services
NIRALA INFRATECH PRIVATE LIMITED,6531.0,IN0013215319,"Finance, Insurance, and Real Estate"
NITTO DENKO INDIA PRIVATE LIMITED,2519.0,IN0007430736,Manufacturing
NORTH BIHAR HIGHWAY LIMITED,1611.0,IN0012727224,Construction
NTT DATA BUSINESS SOLUTIONS PRIVATE LIMITED,7371.0,IN0013462115,Services
OLECTRA GREENTECH LIMITED,3675.0,IN33112FI,Manufacturing
OMNICOM MEDIA GROUP INDIA PRIVATE LIMITED,7311.0,IN0008744651,Services
OPC ASSET SOLUTIONS PRIVATE LIMITED,7375.0,IN0008106312,Services
ORIENTAL POWER CABLES LTD,3679.0,IN0000307701,Manufacturing
OSTWAL PHOSCHEM (INDIA) LIMITED,3251.0,IN0000275942,Manufacturing
OTSUKA CHEMICAL (INDIA) PRIVATE LIMITED,2833.0,IN0006902115,Manufacturing
P K P N SPINNING MILLS PRIVATE LIMITED,2281.0,IN0009172236,Manufacturing
