Name,SIC,BVD,Industry
APRAAVA ENERGY PRIVATE LIMITED,4911.0,IN0000021056,"Transportation, Communications, Electric, Gas, and Sanitary Services"
APTECH LIMITED,8299.0,IN30781FI,Services
APTIV CONNECTION SYSTEMS INDIA PRIVATE LIMITED,3542.0,IN0000244915,Manufacturing
AQUA ALLOYS PVT LTD,3312.0,IN0001014066,Manufacturing
AQUARELLE INDIA PRIVATE LIMITED,2299.0,IN0001017586,Manufacturing
ARCHIDPLY INDUSTRIES LIMITED,2499.0,IN33391FI,Manufacturing
ARCONS INFRASTRUCTURES AND CONSTRUCTIONS PRIVATE LIMITED,1629.0,IN0001089144,Construction
ARCVAC FORGE CAST PRIVATE LIMITED,3312.0,IN0001093156,Manufacturing
ARGL LIMITED,3562.0,IN0000849158,Manufacturing
ARIHA DIAMOND JEWELLERY PRIVATE LIMITED,3911.0,IN0001225357,Manufacturing
ARMO SYNTHETICS PRIVATE LIMITED,2281.0,IN0001080709,Manufacturing
ARPIT PROJECTS LIMITED,1629.0,IN0000335965,Construction
ARROW ELECTRONICS INDIA PRIVATE LIMITED,7379.0,IN0000023918,Services
ARTEMIS MEDICARE SERVICES LIMITED,8062.0,IN116985FI,Services
ARTHMATE FINANCING INDIA PRIVATE LIMITED,2999.0,IN0010927145,Manufacturing
ARTIFICIAL LIMBS MANUFACTURING CORPORATION OF INDIA,8062.0,IN0000256172,Services
ARVIND OG NONWOVENS PRIVATE LIMITED,2269.0,IN0013413776,Manufacturing
ARYA CAPITAL MANAGEMENT PRIVATE LIMITED,6019.0,IN0001126352,"Finance, Insurance, and Real Estate"
ARYAN BOILERS PRIVATE LIMITED,3559.0,IN0012305402,Manufacturing
ARYSTA LIFESCIENCE INDIA LIMITED,5051.0,IN0000231677,Wholesale Trade
ASAWA INSULATION PRIVATE LIMITED,7389.0,IN0001157481,Services
ASCENDION ENGINEERING PRIVATE LIMITED,7389.0,IN0016357209,Services
ASHLEY ALTEAMS INDIA LIMITED,3321.0,IN0010240973,Manufacturing
ASHOKA BUILDCON LIMITED,1629.0,IN34302FI,Construction
ASHTA LINERS PRIVATE LIMITED,3743.0,IN0010194525,Manufacturing
ASHTECH (INDIA) PRIVATE LIMITED,7389.0,IN0010205592,Services
ASHWANI AUTOMOBILES PRIVATE LIMITED,5012.0,IN0010241712,Wholesale Trade
ASIA (CHENNAI) ENGINEERING COMPANY PRIVATE LIMITED,1629.0,IN0001168873,Construction
ASIAN HEART INSTITUTE & RESEARCH CENTRE PRIVATE LIMITED,8062.0,IN0000248331,Services
ASIAN SEALING PRODUCTS PRIVATE LIMITED,3462.0,IN0010189444,Manufacturing
ASIATECH COATINGS PRIVATE LIMITED,7389.0,IN0014858647,Services
ASICS INDIA PRIVATE LIMITED,8742.0,IN0014044251,Services
ASM INDUSTRIES (INDIA) PRIVATE LIMITED,2269.0,IN0010211806,Manufacturing
ASSA ABLOY INDIA PRIVATE LIMITED,3441.0,IN0010212811,Manufacturing
ASSET RECONSTRUCTION COMPANY (INDIA) LIMITED,6159.0,IN0000230936,"Finance, Insurance, and Real Estate"
ATANDRA ENERGY PRIVATE LIMITED,4911.0,IN0007797136,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ATLAS FISHERIES PRIVATE LIMITED,912.0,IN0001235996,Public Administration
ATLAS TRANSFORMERS INDIA LIMITED,3612.0,IN0004094282,Manufacturing
AUDIO DISTRIBUTION HOUSE PRIVATE LIMITED,5085.0,IN0015795316,Wholesale Trade
AUGUSTAN KNITWEAR PRIVATE LIMITED,2326.0,IN0001259852,Manufacturing
AUMA INDIA PRIVATE LIMITED,7389.0,IN0001262622,Services
AURIONPRO SOLUTIONS LIMITED,7379.0,IN31457FI,Services
AUTO INTERNATIONAL(INDIA) PRIVATE LIMITED,3694.0,IN0001267534,Manufacturing
AUTO MECH (INDIA) PVT. LTD,3559.0,IN0001267807,Manufacturing
AUTOBAHN AUTOMOTIVE PRIVATE LIMITED,5012.0,IN0014153323,Wholesale Trade
AUTOCOMP CORPORATION PANSE PRIVATE LIMITED,3694.0,IN0001270199,Manufacturing
AUTOMETERS ALLIANCE LIMITED,7389.0,IN0000241205,Services
AUTOMOTIVE AXLES LIMITED,3714.0,IN30544FI,Manufacturing
AUXILO FINSERVE PRIVATE LIMITED,6159.0,IN0016469965,"Finance, Insurance, and Real Estate"
AV INTEGRATION DISTRIBUTION (INDIA) PRIVATE LIMITED,5085.0,IN0001272318,Wholesale Trade
AVAADA ENERGY PRIVATE LIMITED,4911.0,IN0003163901,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AVANTEL LIMITED,4899.0,IN31071FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AVENZER ELECTRICALS & INFRASTRUCTURE PRIVATE LIMITED,7389.0,IN0014752307,Services
AVERINA INTERNATIONAL RESORTS PRIVATE LIMITED,7021.0,IN0000275873,Services
AVL TECHNICAL CENTRE PRIVATE LIMITED,8711.0,IN0001330745,Services
AXIS FINANCE LIMITED,6141.0,IN0002866096,"Finance, Insurance, and Real Estate"
AXLES INDIA LIMITED,1041.0,IN0001378765,Mining
AZAD ENGINEERING LIMITED,8711.0,IN0001388554,Services
B L INFRA PROJECTS PRIVATE LIMITED,1799.0,IN0019766748,Construction
B. G. SHIRKE CONSTRUCTION TECHNOLOGY PRIVATE LIMITED,1623.0,IN0009427438,Construction
BACARDI INDIA PRIVATE LIMITED,2084.0,IN0000242414,Manufacturing
BADRUKA EXIM PVT LTD,5085.0,IN0001483248,Wholesale Trade
BAJAJ HOUSING FINANCE LIMITED,6141.0,IN0001529178,"Finance, Insurance, and Real Estate"
BALAJI EXTRUSIONS AND CABLES PRIVATE LIMITED,3679.0,IN0001502878,Manufacturing
BALAJI NIRYAAT PRIVATE LIMITED,5199.0,IN0001517064,Wholesale Trade
BALAJI SEWING MACHINE PRIVATE LIMITED,5199.0,IN0001522698,Wholesale Trade
BALANCEHERO INDIA PRIVATE LIMITED,7389.0,IN0015588977,Services
