Name,SIC,BVD,Industry
NANDAN TERRY LIMITED,2257.0,IN0014839879,Manufacturing
NANDI ECONOMIC CORRIDOR ENTERPRISES LIMITED,8062.0,IN0008794785,Services
NARBADA GEMS AND JEWELLERY LIMITED,3911.0,IN33024FI,Manufacturing
NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,1799.0,IN0012218038,Construction
NATIONAL PLASTIC TECHNOLOGIES LTD.,3089.0,IN31417FI,Manufacturing
NEBULA SURGICAL PRIVATE LIMITED,2834.0,IN0008872284,Manufacturing
NEOGEN CHEMICALS LIMITED,2869.0,IN001576439IND,Manufacturing
NETCRACKER TECHNOLOGY SOLUTIONS (INDIA) PRIVATE LIMITED,8711.0,IN0009053615,Services
NETMAGIC SOLUTIONS PRIVATE LIMITED,7371.0,IN0008890636,Services
NEUDESIC TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0008892738,Services
NOBLE ALCHEM PRIVATE LIMITED,7389.0,IN0008740335,Services
NORISYS TECHNOLOGY PRIVATE LIMITED,3612.0,IN0007457259,Manufacturing
NOVO NORDISK SERVICE CENTRE (INDIA) PRIVATE LIMITED,7389.0,IN0007453993,Services
NTT COMMUNICATIONS INDIA NETWORK SERVICES PRIVATE LIMITED,4899.0,IN0014406354,"Transportation, Communications, Electric, Gas, and Sanitary Services"
NTT GLOBAL DATA CENTERS & CLOUD INFRASTRUCTURE INDIA PRIVATE LIMITED,7375.0,IN0008890591,Services
NUANCE INDIA PRIVATE LIMITED,4899.0,IN0008729693,"Transportation, Communications, Electric, Gas, and Sanitary Services"
OCROLUS EAST PRIVATE LIMITED,7375.0,IN0015524306,Services
ODISHA POWER GENERATION CORPORATION LIMITED,4911.0,IN0000225938,"Transportation, Communications, Electric, Gas, and Sanitary Services"
OIL INDIA LIMITED,1311.0,IN33941FI,Mining
OSTWAL PHOSCHEM (INDIA) LIMITED,3251.0,IN0000275942,Manufacturing
OXANE PARTNERS INDIA PRIVATE LIMITED,8742.0,IN0012182284,Services
PACIFIC BPO PRIVATE LIMITED,7375.0,IN0006907203,Services
PALO ALTO NETWORKS (INDIA) PRIVATE LIMITED,8721.0,IN0012241191,Services
PALO ALTO NETWORKS (INDIA) TECHNOLOGIES PRIVATE LIMITED,7389.0,IN0015534439,Services
PAPER VANTAGE POINT PRIVATE LIMITED,5199.0,IN0014702296,Wholesale Trade
PARAG AGRO FOODS AND ALLIED PRODUCTS PRIVATE LIMITED,2091.0,IN0013823641,Manufacturing
PARAGON DIGITAL SERVICES PRIVATE LIMITED,7311.0,IN0007007049,Services
PATCO PRECISION COMPONENTS PRIVATE LIMITED,3561.0,IN0007146599,Manufacturing
PEGASYSTEMS WORLDWIDE INDIA PRIVATE LIMITED,7371.0,IN0013242175,Services
PERFICIENT INDIA PRIVATE LIMITED,7371.0,IN0008164304,Services
PG ELECTROPLAST LIMITED,3679.0,IN34608FI,Manufacturing
PHIL COAL BENEFICATION PRIVATE LIMITED,1222.0,IN0007206903,Mining
